objectives;variables;evaluation_time;algorithm_time
[3.869200872000003, -2.42373647];[1.2893965018647737, -2.7105438796019814, 1.3372952886447038, 1.5002693533475089, 3.1337058467070538, 2.6408329978455622, 4.960975023705716, 2.2255726950723904, 0.5190767106453915, -2.9668980175122006];17.158.019.569.999.300;1.879.358.570.004.110
[3.0247145280000027, -2.4999999999983413];[-5.0, -5.0, 5.0, -5.0, -5.0, -5.0, -5.0, -2.166919263856946, -5.0, 5.0];17.366.355.300.002.000;1.879.358.570.004.110
[3.5056605600000124, -2.4999999999989533];[-0.9338420678486958, -5.0, 5.0, -5.0, 5.0, 2.0719621860872888, -5.0, 1.2303344159944762, 2.7306599599146235, -5.0];1.719.450.733.999.830;1.879.358.570.004.110
[3.5634651840000116, -2.499999999997331];[-1.8660204019398714, -2.2299038246273364, 1.4628501888364163, -0.539578720927353, -1.7503218539058745, 4.603232201188703, 0.3398070670664799, -4.5579301007092505, -0.4015036579220661, 2.7146263141184326];17.226.462.899.998.200;1.879.358.570.004.110
[3.9572055360000133, -2.0991134000000002];[0.6722265761344373, 0.8034648280592016, 2.457261960953435, 0.4636753443627697, 2.5956330634653737, 1.327752955257794, 4.6799862571061155, 2.0638524182140543, 3.386830715462617, -2.446702243760335];165.627.911.699.994;1.879.358.570.004.110
[3.4352424000000106, -1.9399668];[3.6088463675527898, 2.5497262277129096, -5.0, -5.0, -5.0, -5.0, -5.0, 2.8761713645654314, 5.0, 2.8042476805514447];17.696.239.870.000.800;17.114.859.899.971.600
[3.1476006000000085, -2.2215505];[0.8199618940920539, -2.5700697256872878, -5.0, -5.0, -5.0, 1.7926297412184464, -5.0, -0.02531755613626263, 3.505058634434109, -5.0];1.716.363.009.000.190;17.114.859.899.971.600
[3.693353760000004, -2.493351488];[0.8965075792023747, 3.7636998707329674, 4.167050718979787, -4.245555972543281, 1.272661179887976, -0.9485856261596135, -3.630722773888941, -3.6799391299852413, 2.2131671772683372, 3.9803359677418584];16.782.290.270.004.800;17.114.859.899.971.600
[3.63888720000001, -2.1322232];[-2.7171060384612504, -0.7143281443350746, 1.1001341346901157, -0.5156297110588959, 4.694247622853769, 2.7574664130497, 3.9995104913755277, -2.691301294841382, -1.4740156969891256, -3.171976046419898];17.129.122.349.998.200;17.114.859.899.971.600
[3.5330912640000047, -2.4999999999769402];[-5.0, -5.0, 3.3917523442352184, 1.5553755528974111, 5.0, -5.0, -5.0, 4.523222507066251, -3.1013193159254784, 5.0];17.197.095.320.001.200;17.114.859.899.971.600
[3.0675581280000115, -2.4999999999986757];[-5.0, -5.0, -5.0, -5.0, -4.5252978315954495, 5.0, -5.0, 5.0, -0.6581170262092852, -5.0];17.103.806.449.996.700;16.367.108.799.982.800
[3.647806488000005, -2.48457372];[3.6428538598574356, 4.7245551229812826, 1.7284681791684031, 2.379192246450356, -1.845976963683535, -4.72240226651027, -2.5839746685648004, 0.9982380310024555, -1.3683382387773397, -1.2727339747420268];1.742.180.428.999.700;16.367.108.799.982.800
[3.5218247040000037, -2.4999999999993747];[-2.427193293372424, -2.5384226862265917, -2.8470003042146104, 1.307390565707399, 1.5158834899144225, 1.117453283022959, 0.5385197881756829, 1.0488951693579542, -4.325170872778788, 2.4570654859279415];17.176.308.260.002.400;16.367.108.799.982.800
[3.464802432000008, -2.4999999999697984];[1.829783775616475, -5.0, -5.0, 2.2578976084685074, -2.2588536936857335, 5.0, 5.0, -4.78185282782161, 1.160567558283475, -5.0];1.721.785.371.999.720;16.367.108.799.982.800
[3.207937824000001, -1.9118804];[5.0, -5.0, -1.6261482292697287, -5.0, 5.0, -5.0, -5.0, -5.0, 2.9417914425910734, -5.0];18.145.448.710.001.000;16.367.108.799.982.800
[3.372855552000009, -2.1746508];[-2.1688150004120206, -5.0, -1.8613090666535932, -5.0, -0.9335235462608855, 1.2433449019998744, -2.0204872114312264, 4.69151848327402, -5.0, 5.0];17.055.711.550.003.600;14.239.944.199.973.200
[3.320305128000009, -2.4999999999627134];[3.597142030677528, 5.0, -4.323416922110296, 5.0, -4.889841575958988, -4.01837486778611, -5.0, -5.0, 1.1523114869685873, -5.0];1.766.900.697.000.090;14.239.944.199.973.200
[3.525077664000009, -2.3743578];[1.5184758918866503, -5.0, 3.2491917535901447, -5.0, -0.7121262900596408, 5.0, -5.0, 1.9424844510075348, -5.0, 5.0];17.085.871.480.003.600;14.239.944.199.973.200
[3.631742352000006, -2.41713878];[4.019058821722934, -2.0867765415459028, 2.1617222391066075, -4.218997079878874, -3.2265308685600407, -3.38218090124444, 3.754112068563506, 0.3794355690479545, 4.045057734474645, -0.5086404643952429];16.888.470.619.998.400;14.239.944.199.973.200
[3.6665641440000036, -1.8541682000000002];[-3.4749179426580072, 4.976528091356165, 2.950332630425404, -0.9923582337794858, -2.677558008581368, 1.7101190239188524, 0.14682550914554593, -1.6807418782263865, 0.4272513184696809, 1.1628764867782495];16.776.772.329.997.000;14.239.944.199.973.200
[3.7029562560000064, -2.4999999999970446];[-2.42976015459226, 2.4358399830502613, 2.769539334014751, 2.9961035581336537, -1.5584739682219095, 0.4617815524510096, 0.6078632109105815, -2.216233402854792, -2.4314449238916396, 3.5979325062653906];16.779.353.650.001.500;16.875.675.999.966.900
[3.4970790960000135, -2.2156477];[-4.08982125493672, -1.5054800055148139, 4.216915766753488, 4.153301597884996, -1.830492006750668, -2.319334868884906, -0.9558461521667647, -3.186047487477248, -3.557172198466386, 3.7757701618162454];1.761.298.894.000.350;16.875.675.999.966.900
[3.603554568000003, -2.499999999997561];[-2.6882162584728184, 3.2678920912395206, 2.458244622608876, -0.9812042855471512, -3.580408418223084, 4.8603181062967575, -4.734267400769301, 0.3188227614068895, 2.1569084349171774, -1.4468892644473592];17.579.369.379.999.100;16.875.675.999.966.900
[3.6883639440000033, -2.499999999999633];[4.961958366185989, -2.642544158675241, 3.0640791681999886, 0.5865647495891384, 1.1203555150311653, -1.703657717586196, 0.7970014437286927, 1.5299122261910627, -2.1393040271304113, -2.0167861058655987];1.715.818.807.000.170;16.875.675.999.966.900
[3.019170456000003, -2.499999999998628];[-5.0, -5.0, -5.0, -5.0, 1.2234015919270922, -5.0, -5.0, 1.3530066549031137, 5.0, -5.0];17.665.480.909.997.100;16.875.675.999.966.900
[3.536558496, -2.145392];[5.0, -5.0, 5.0, -5.0, 2.04379056834129, -5.0, -5.0, 2.900758339283791, -2.3454053517843185, 3.930412924897997];1.796.496.095.000.180;1.386.526.240.000.960
[3.3484419360000075, -2.499999999998776];[-3.657718176277249, -5.0, -4.166745003776208, -5.0, 2.8775021380650685, 1.677992608507405, -5.0, 1.9900175021552782, -0.37431917565109085, 4.473735897148522];17.339.576.570.002.800;1.386.526.240.000.960
[3.5774760240000063, -2.499999999998824];[2.6202606934739148, -3.9270229341237517, 3.4647242541315197, -0.9918875204825763, -0.9331153067264868, 0.5433772355635966, 2.8608014230643413, -4.801843764957594, 0.8084754187447896, -1.2198928544598182];17.913.114.439.998.700;1.386.526.240.000.960
[3.4767398880000133, -2.4999999999983573];[-2.8567084756918804, -5.0, -3.805268165975882, -5.0, 3.49613868576969, 5.0, -5.0, 2.194074459647542, -0.26804610259122885, 5.0];1.705.675.180.000.250;1.386.526.240.000.960
[3.739872816000009, -2.499999999999749];[-4.9422707594929145, 4.962028767913333, -1.4346060343082856, 1.6684079729019814, 1.0422101803122104, -1.865310324355737, -2.47575225308509, 0.5677041318268605, 4.464007290080136, 3.9558499399574796];17.154.071.079.997.800;1.386.526.240.000.960
[3.5311833360000127, -2.4999999999996247];[2.701951370837538, 0.2070651150862668, 3.3904018083151914, -2.2139101479222703, -4.1074820231470985, 3.707039275723554, 2.951584387968653, -1.655926040861706, -4.578278721558655, -4.121726567288002];17.299.830.960.005.000;13.602.437.900.030.000
[3.465227736000012, -1.319178];[5.0, -5.0, -5.0, -0.8187225683525003, 0.2229357413487989, 5.0, -5.0, 5.0, -1.1769802881386857, -5.0];17.985.762.040.002.700;13.602.437.900.030.000
[3.4500766320000045, -2.1908712];[-5.0, -5.0, -3.886166501861897, -5.0, 0.6232696047610196, 4.121951584679703, -5.0, 5.0, 5.0, 1.6667191281445568];16.799.467.520.002.500;13.602.437.900.030.000
[3.4747976160000027, -2.499999999995533];[-1.6538105029939394, 5.0, -1.1853812816973983, -5.0, -5.0, 5.0, -5.0, 3.7718135683454026, -0.7903446134389522, -1.471996112059986];17.552.549.140.003.900;13.602.437.900.030.000
[3.6310077360000026, -2.49999999996196];[-3.1320275831967814, 1.4118688181042236, 2.9559987783429698, 4.833730664104207, -2.1346511784942415, 2.616834435612234, 4.338335311040005, -1.8728308752178986, -3.7638638261704433, -4.351183651015216];1.738.721.108.000.020;13.602.437.900.030.000
[3.483189216000007, -2.499999999943586];[-3.729297867642689, -4.76955166656035, 0.4416826914877454, 2.1308414161796287, 5.0, -4.958366896525287, -1.5528325153484017, 5.0, -4.6799377100039, 1.1762321871431407];18.473.204.530.001.300;12.347.111.099.981.700
[3.4769295360000116, -2.4999999999978133];[2.447514460124066, 4.65462611630142, -2.0078737808407383, -0.5046679830201724, -4.098264889714276, -3.8525852581220303, 4.54448404360665, -4.517828799256366, -3.787648177171162, 0.891202206598944];18.512.345.509.999.400;12.347.111.099.981.700
[3.051308448000001, 4.36812];[3.360883406463893, -5.0, 0.022241373180294843, -5.0, -4.318829298819161, -5.0, -5.0, -5.0, -5.0, 5.0];18.674.760.170.001.500;12.347.111.099.981.700
[3.4290594000000034, -2.499999999999017];[1.6751989835785883, -0.9041279451851434, 0.6947168239340868, -2.703355082225647, 1.4687145404027984, -1.7790352333245218, -5.0, 0.5355183035602886, -1.0714286774175048, -1.3634497410332798];18.280.815.040.000.000;12.347.111.099.981.700
[3.40523762400001, -2.499999999998564];[-5.0, -5.0, 1.9404018154329634, -5.0, 5.0, -5.0, -5.0, 5.0, -0.306189565154698, 3.815683426293308];18.324.588.299.996.600;12.347.111.099.981.700
[3.03406128, -2.4999999999975233];[-5.0, -5.0, -1.7068295905108521, -5.0, 3.4801659394746647, -5.0, -5.0, 3.3447422471008625, -5.0, -1.8522852686751854];19.713.341.670.000.200;12.296.824.200.020.600
[2.965922352000008, -2.4999999999245173];[-2.1612573188267676, -5.0, 1.05748401939395, -5.0, 0.46369295087827833, -5.0, -5.0, -0.30332389501615964, -5.0, -3.9453703809530363];20.467.051.989.998.400;12.296.824.200.020.600
[3.1095219600000004, 0.006752000000000091];[-1.818438604275844, -2.9160975616333626, -4.2581700093063235, -3.1508085449996264, -1.8701266937450445, -5.0, -5.0, -2.350207897718462, 3.8474824704101103, -0.7243026585520687];19.734.072.670.002.900;12.296.824.200.020.600
[3.0824130960000056, -2.49999999999791];[-5.0, -5.0, 4.102777865168344, -5.0, 2.128993103889501, -5.0, -5.0, -3.7067476704849245, -5.0, 2.9792958637086278];19.859.735.709.999.200;12.296.824.200.020.600
[2.7908232480000073, -1.387048];[-5.0, -5.0, 2.9442178086320094, -5.0, -4.695769485771637, -5.0, -5.0, -5.0, -5.0, -1.243666825081923];19.869.620.760.000.500;12.296.824.200.020.600
[3.5737932240000045, -2.497721176];[-5.0, -0.39307674831808104, -3.3592538514576913, -3.9959710674415883, 5.0, 5.0, 2.464079395200783, -5.0, 4.999455865256625, -1.4618379374934163];1.704.009.715.000.280;12.380.558.500.008.100
[2.836492560000001, -2.499999999998955];[-4.357787404534532, -5.0, 0.6849312599292876, -5.0, -5.0, -5.0, -2.6650635867856307, -5.0, -5.0, 0.45705388221426446];17.972.399.169.998.200;12.380.558.500.008.100
[3.019250592000006, -2.499999999980314];[2.9220130109065243, -5.0, 0.556236613700996, -5.0, -3.860622173483071, -5.0, -5.0, -1.0962755631412229, -2.108398498238704, -3.832835798179514];17.869.029.929.995.300;12.380.558.500.008.100
[3.1837553280000126, 2.9009340000000003];[5.0, -5.0, 0.7265139692736895, -5.0, -3.3603349152614777, -5.0, -5.0, -5.0, 3.701002035441288, -0.871113214639796];18.035.467.309.999.500;12.380.558.500.008.100
[3.112578144000011, -2.499999999997481];[-5.0, -5.0, -2.985430242258684, -5.0, 2.00149361128169, -3.8520807095661134, -5.0, 1.4124356990949947, -2.909994901677963, 3.2344079385083173];1.742.170.674.999.940;12.380.558.500.008.100
[2.7229366080000066, -2.4999999999156106];[-0.4943589153246952, -5.0, -0.6437628074671995, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];18.011.429.659.998.900;14.093.644.500.011.500
[2.812545072000003, -2.4997991058];[-2.747242333206807, -4.455078115940207, -3.8790191830939786, 0.8477413086830214, -5.0, -4.843241440691919, -5.0, -5.0, -3.6587221533870746, -3.2540372753826254];1.807.782.981.999.910;14.093.644.500.011.500
[2.8412629200000037, -2.48557273];[2.162912655100011, -5.0, 2.1770338485331164, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];1.861.086.221.000.290;14.093.644.500.011.500
[2.7643962960000046, -2.3942437];[4.790517849634945, -5.0, -4.038357302277355, -4.97085028359259, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];19.477.832.009.998.300;14.093.644.500.011.500
[2.894961384000014, -2.4999999996452593];[3.423629229466444, -5.0, -4.553862598727295, -0.7864528753410278, -5.0, -5.0, -1.2573127773828148, -5.0, -5.0, -5.0];18.363.073.510.001.400;14.093.644.500.011.500
[2.6792411040000017, -2.40673429];[1.8389304188473732, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];18.489.536.869.997.300;10.802.949.199.976.800
[3.3878850480000002, -2.499999999999191];[0.8588029529037255, -0.7408563937652426, -4.513181227512975, 1.4801218799639368, -3.1951097005847027, -0.7810532563902557, 1.863874134833451, -3.976735088535093, -0.874919251313945, -0.4744109321735577];16.724.015.360.005.400;10.802.949.199.976.800
[2.7783762480000087, -2.4520490600000002];[2.970337598009044, -5.0, -4.838459136355156, -5.0, -4.60298169247116, -5.0, -5.0, -5.0, -4.9628550200227926, -2.137517309139514];17.833.260.319.998.900;10.802.949.199.976.800
[3.0824044560000123, -2.4999999999982156];[2.1735848640516675, -2.558621037087902, -0.4906643926559724, -5.0, -4.59439554137139, -5.0, -5.0, -5.0, -0.24854263009564903, 1.222548094484913];17.687.320.139.998.300;10.802.949.199.976.800
[2.694754008000011, -1.9147954999999999];[-4.4042473215756255, -5.0, -5.0, -5.0, -3.2629219326318184, -5.0, -5.0, -5.0, -0.032058050756823775, -4.743651207460522];18.121.153.299.999.400;10.802.949.199.976.800
[3.49041852000001, -2.2143836];[-4.555425494467695, 1.6029733101457904, -4.069401042922315, 0.15601632506057506, 0.026448038392920203, -0.3189499130257438, -1.6673122044296615, 2.6148894933799003, 1.4067738254728646, -0.8025209488482759];17.046.249.559.998.900;11.985.489.200.043.900
[2.819419056000014, -2.0402299];[2.345006712094836, -5.0, -5.0, -4.380047552971959, -1.8711470317367978, -3.844494541575883, -4.221807768766584, -4.6988555199592295, -5.0, -5.0];18.219.399.259.996.100;11.985.489.200.043.900
[2.942210952000007, -2.499999999955483];[3.3743751787368694, -5.0, -5.0, -5.0, -5.0, -3.6840869440239077, -1.1370965025831428, -3.5610714184909176, -3.728532958066012, -2.250118442087692];1.749.068.147.999.930;11.985.489.200.043.900
[3.177321552000012, -2.4999999999974603];[0.6080428923223602, -2.393357679686411, -1.1774037838707763, -3.3643249822195154, 1.7976434479468555, -0.47706087020499766, -0.7471949612780469, -5.0, -4.840167145221679, -4.507946554102922];18.154.285.059.997.300;11.985.489.200.043.900
[2.7087983280000003, -1.6887529];[-4.633613317250711, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 1.4842561235908498, -3.6433147981035585];17.524.185.240.000.900;11.985.489.200.043.900
[3.1591553040000027, -2.4999999999974096];[3.530531555095152, -5.0, 3.1332981397463975, -5.0, -5.0, -5.0, -4.461696269023951, -5.0, 2.521395434991601, -0.6663383159885496];17.909.601.269.999.900;11.828.246.899.996.800
[2.736177624000011, -2.497108344];[-2.7025418904416854, -5.0, -5.0, -5.0, -1.1068025894801101, -5.0, -5.0, -5.0, -5.0, -1.715756528574416];17.987.548.079.999.300;11.828.246.899.996.800
[3.1968216000000105, 1.43263];[0.6673717773792331, -0.9815897934996887, 1.6093728153915396, -4.993045807247087, -0.5011082377125184, -5.0, -5.0, -5.0, -5.0, 5.0];18.140.161.160.001.200;11.828.246.899.996.800
[3.133819584000011, -2.4999999999584346];[2.316432979008769, -5.0, 2.034308524568573, -5.0, 5.0, -5.0, -5.0, -5.0, -1.9454670943970767, -4.521029509174646];18.760.785.380.000.000;11.828.246.899.996.800
[3.1213857600000114, -2.2727556];[1.7156251118340018, 1.0953323782994282, -2.248195779160545, -5.0, -3.674404739026078, -1.1581406129893956, -5.0, -5.0, -2.155802290439367, -1.265796587483103];17.338.635.129.999.600;11.828.246.899.996.800
[3.2630962320000094, -2.499999999999587];[-5.0, -0.08010972241476022, 0.21390593804531033, -2.2818361819569706, -5.0, -3.6105726300583245, 0.5870959632400226, -3.9343708473552965, 2.861686192351465, 0.11347333620020628];16.722.369.000.001.300;13.129.829.499.986.900
[2.932146864000007, -1.8758514];[-5.0, -5.0, -2.6931936706654476, -5.0, -2.6751376966932385, -5.0, -1.6525106746180063, -1.5731587367384412, -1.8526532531216233, -1.005823629421486];16.812.119.410.000.700;13.129.829.499.986.900
[3.7257537600000057, -2.3120505];[-1.900796350203116, -0.6544024181819381, 4.962424691019979, -0.17837532800447597, -4.967213629517707, 3.0042709822148783, 1.1249365968121525, 1.273501243351948, 0.20110816058337289, 2.4231178879550477];16.101.638.859.999.300;13.129.829.499.986.900
[2.7528018480000025, -2.48699798];[-5.0, -2.604827729335977, -0.13130918294991378, -5.0, -5.0, -3.6510643579224333, -5.0, -4.206045242936159, -4.9220935581828735, -4.240124262188568];17.864.837.070.001.500;13.129.829.499.986.900
[2.9490592320000064, -1.9257506];[-5.0, -1.1098697346431834, -3.6285473223613627, -5.0, 0.8233559724397823, -4.166064874365281, -5.0, -5.0, 0.33726450745870373, -2.9256143193008803];1.744.990.647.000.370;13.129.829.499.986.900
[3.194337600000013, -2.499999999997878];[-4.561043356571504, -2.3753223593863164, 1.9632184798345431, -1.8343288955274408, 3.6993739576827505, -5.0, -4.755304414801132, -1.4905923547825983, -0.7880460220759691, -4.171929190529398];17.407.644.340.000.100;13.962.013.599.986.600
[2.8834021440000135, -2.4999999999977867];[-5.0, -5.0, 0.14013565046292253, -5.0, -5.0, 0.8702730336929854, -5.0, -4.718247121424081, -5.0, -0.0013295995834861074];17.467.537.419.998.500;13.962.013.599.986.600
[3.8563739280000062, -2.4999999999985785];[3.7119420728623247, 2.8610566392742722, 1.28453033202506, 2.653533398173723, 0.5533056825528782, 1.6644637188562665, 2.949606528522871, -3.9619103965139653, 3.417232843656908, -3.7979148509347924];17.066.695.519.996.500;13.962.013.599.986.600
[2.664924408000008, -2.0591289];[-5.0, -5.0, -2.825702728602689, -5.0, -5.0, -5.0, -5.0, -3.958582314378546, -5.0, -2.039538148615468];17.463.197.740.004.300;13.962.013.599.986.600
[3.0208759920000023, -2.4999999999977627];[-5.0, -5.0, 4.077042877964288, -5.0, -5.0, -5.0, -5.0, -4.619075432306004, 3.974499034928856, -0.7771053029373132];1.777.040.673.000.150;13.962.013.599.986.600
[3.0166674480000126, -2.49999999999756];[-5.0, -3.836444428616832, 2.2938005158878436, -5.0, -5.0, -1.431020779165987, -4.794978219752421, -4.217347921566097, -3.490287634242404, 2.9368031264436425];17.324.232.860.002.600;12.788.725.599.995.800
[3.6276770160000025, -2.499999999999115];[-2.301095027348331, -0.03341109908107143, 2.747540760126334, 0.006139064375761727, -5.0, 2.913268494925064, 1.4516322004626563, 2.3657730859717034, -0.6414157694408242, -0.7604313919172236];1.624.649.637.999.820;12.788.725.599.995.800
[3.797222328000005, -2.4999999999991345];[-3.903862854067091, 3.182048843851776, 1.7306474206966431, 2.057697731064211, -5.0, 0.03121135659309715, 1.5253425137695285, 2.127643483946743, 3.2036995728309705, 3.6429074353419004];16.283.946.270.000.800;12.788.725.599.995.800
[2.8027658880000055, -1.237385];[-5.0, -5.0, -4.955328331828632, -5.0, 2.7775437193412564, -4.3851847339596, -5.0, -4.05198307465292, -3.103204500889931, -3.724165037165825];1.742.260.845.999.690;12.788.725.599.995.800
[3.288839760000009, -2.4999999999977884];[-5.0, -0.2852550530397515, 0.6940269622522486, -0.6216259714181325, 1.9376792765521085, 1.9136409818717146, -2.172294810408335, -3.8554342853982106, -3.8665244516195725, -3.683118819964512];17.055.727.619.997.900;12.788.725.599.995.800
[3.527918928000001, -2.0257549];[-2.6650190044270845, -3.3624800453856682, -0.5555798750354466, 2.9599085657345627, 2.1756842007824675, -4.366626523780285, 1.077896779490299, 0.9079202692064001, -2.984683257261066, 2.9425634618764978];1.680.409.225.000.180;13.237.622.999.993.600
[2.787339384000012, 0.4492210000000001];[-3.8591744399458494, -5.0, -4.154374204845709, 0.7255040373060933, -5.0, -2.237102998854716, -5.0, -4.521789706549961, -4.999122790740025, -4.110423697150652];1.858.790.165.000.240;13.237.622.999.993.600
[2.6828243280000024, -2.20493];[-5.0, -5.0, -4.4390908070336295, -5.0, -5.0, -5.0, -5.0, -3.1929140019779125, -4.975812461091507, -0.387361273413406];17.380.260.559.997.900;13.237.622.999.993.600
[3.1495404960000113, -2.499999999977482];[-3.867052923747978, 1.1618747055975822, -0.7816783992211596, -2.378395938968473, 1.2228088674036464, -5.0, -5.0, -1.974161408806725, -1.1441139363465576, -3.627200108486222];17.688.387.319.998.500;13.237.622.999.993.600
[2.978346240000013, -2.499999999996077];[-5.0, -5.0, -4.287385430773919, -4.086345534433715, -0.8319659540787603, -3.637320265497336, -5.0, -1.5722470970694458, -3.8666077370201646, 3.968290072482729];1.729.315.214.000.520;13.237.622.999.993.600
[3.1915922400000127, -2.499999999997975];[1.534017265789796, -3.240443148436753, 0.521169846667787, -1.7476046061674806, -2.0499457924545945, -5.0, -5.0, -3.2732169851648174, -1.449122238433993, 0.2640373910790972];17.449.099.870.002.800;13.365.072.400.018.100
[2.759715360000012, -2.4999999999640155];[-5.0, -5.0, 0.14499420888039438, -5.0, -4.166145688769302, -5.0, -5.0, -4.074907816022498, -1.6109857324493455, -4.728351058692781];17.222.329.940.000.700;13.365.072.400.018.100
[2.9120335920000127, -2.4999999999975855];[-5.0, -5.0, 0.5163398371302064, -5.0, -5.0, -5.0, -5.0, -0.7016641220665747, -2.350825107650283, 0.15256208969501905];17.063.574.860.000.500;13.365.072.400.018.100
[3.928996152, -2.4999999999979803];[2.9360881265276983, 4.3145075651915885, -3.1294867429881323, 1.7476072760415917, 2.685193991160393, 3.4619548660569244, 3.1446735752767836, -2.366740402070369, -0.8703916455460696, 2.7745751293315655];163.712.238.899.956;13.365.072.400.018.100
[2.986260696000012, -2.48354683];[-5.0, -5.0, -2.865419255482392, -5.0, -5.0, -5.0, -5.0, 5.0, -3.7082203479662637, 2.6264743553469074];17.100.255.589.996.200;13.365.072.400.018.100
[2.91157156800001, -2.499999999966719];[-5.0, -5.0, -0.6012819027216816, -5.0, -5.0, -5.0, -5.0, 1.1003402173668464, -1.012500771566807, -1.891561471907509];18.003.350.270.004.000;1.256.184.600.002.590
[2.899376856000002, -2.43927331];[-5.0, -5.0, 0.2714535933232165, -5.0, 5.0, -3.677263534997945, -5.0, -5.0, -5.0, -4.563756870542334];1.868.825.838.000.040;1.256.184.600.002.590
[2.8178908560000107, -2.4999999999823976];[-5.0, -5.0, -2.247291363860497, -5.0, -5.0, -5.0, -5.0, -5.0, -0.9956080701907215, 1.500819541183703];18.093.213.699.996.700;1.256.184.600.002.590
[3.0547169280000093, -2.499999999995559];[-2.697151241655099, -3.8318986332341307, -5.0, -4.126268088194783, -5.0, -5.0, -5.0, 2.132838035786273, 1.471947129738429, 1.2726179408096536];1.758.169.447.000.250;1.256.184.600.002.590
[3.0879772560000047, -1.9637715999999998];[-5.0, -5.0, -3.7380188995499664, -5.0, -4.3964385563173956, 1.098656404936376, -5.0, 2.968257223754449, -3.0823344324492945, 2.911802631780045];17.465.179.879.998.300;1.256.184.600.002.590
[3.459747816000003, -2.4999999999986406];[-1.0787586520766386, -1.6036524608572704, -2.587796106424718, -5.0, 2.320359017185627, 2.053357671596329, 1.3419623559755314, -1.112004125287438, -4.956906569681212, 3.5969373142322034];17.409.577.020.001.500;13.019.923.000.014.300
[2.9614133520000085, -2.48874991];[-5.0, -4.224105594111572, -3.1871982506548595, -4.598270722657131, -0.4240489698543941, -5.0, -4.447221427862434, -1.543953151451865, -5.0, 3.3272778632199866];17.930.693.449.999.600;13.019.923.000.014.300
[2.9516860080000122, -2.499999999999464];[-1.4789988623879369, -5.0, -3.572875238210979, -5.0, -5.0, -2.2366462936787124, -5.0, 2.5870987344354104, -4.010770863480008, -1.835689417763724];1.779.577.949.999.940;13.019.923.000.014.300
[3.1141970640000127, -2.1916468];[-3.895965951579228, -3.6225923033463308, -3.026193132058909, 1.9338376780656557, -0.0034109681558671667, -5.0, -5.0, -5.0, 1.6899905694539203, -1.099903335023376];1.795.160.304.000.010;13.019.923.000.014.300
[2.8483863840000065, -2.49999999999642];[-5.0, -5.0, -5.0, -2.0377974923718862, -1.5952348941346441, -5.0, -5.0, -2.8747647785660653, 0.20163299116376798, -4.024103111148528];180.187.989.500.002;13.019.923.000.014.300
[3.133518264000004, -2.499999999998432];[-0.8268419825513238, -5.0, -3.9118758778493072, -5.0, -1.4160739615504632, -4.237925585043855, -5.0, 3.5157057671672653, -4.610788841416716, 4.358107425738771];17.936.825.910.001.000;13.299.854.700.046.100
[2.8137112560000093, -2.499999999997574];[-5.0, -5.0, -2.5672181113693524, -5.0, -5.0, -5.0, -5.0, 1.9246344513139295, -2.7130633713030434, -3.579977391691502];1.771.438.026.999.820;13.299.854.700.046.100
[3.847627440000001, -2.1263856];[-1.5328833143637621, 1.9628505167718675, 0.6515438828015983, -0.6268493308296375, 1.4224791156335312, -0.3215500837936993, 3.6495529315513036, -0.3204826219848602, 1.2932868275917722, 4.752944539898165];16.636.081.139.999.400;13.299.854.700.046.100
[2.868322536000001, -2.4999999999980442];[-5.0, -5.0, -0.003935737544262352, -5.0, -5.0, -5.0, -5.0, 2.0446349548337572, -5.0, -1.447992110470956];17.782.955.379.999.400;13.299.854.700.046.100
[3.001664088000011, -2.1812184];[-5.0, -5.0, 0.5742098444877284, -2.9760616437226215, -5.0, -1.9295844249304448, -4.406025391599799, -1.4898945693813581, 1.9932918928661554, -5.0];17.650.247.230.002.400;13.299.854.700.046.100
[3.21482714400001, -2.4999999999954405];[0.6551182624023308, -5.0, -2.9599086870483813, -5.0, 1.2515320509871133, -5.0, -5.0, 5.0, -2.0608339266578257, -0.2513257773421289];17.644.281.290.000.000;13.216.091.999.958.700
[3.0294401760000005, -2.4999999999987566];[-4.617604563477843, -0.2811154715512636, -2.5469910575686, -4.865126331144321, -5.0, -5.0, -4.6439484429351765, -0.015305457694942959, 2.260164545255484, -2.238219956783603];17.576.941.160.002.000;13.216.091.999.958.700
[2.926885752000008, -2.497930794];[-5.0, -5.0, -3.4962171101951913, -5.0, -4.950059431093436, -5.0, -4.9114758014729185, -1.2970411644924167, 5.0, -2.0412473665157527];17.588.427.769.998.000;13.216.091.999.958.700
[2.9874175920000106, -2.4999999999936677];[-5.0, -5.0, 4.120273131815873, -5.0, -5.0, -5.0, -5.0, -3.7263415415946706, 2.1721950912366994, -1.4597532577596537];17.936.837.590.002.600;13.216.091.999.958.700
[3.3424002000000117, -2.4999999999970792];[0.8644554764032311, -0.6792408414185243, -3.819457003846726, -3.2272011041641737, 4.671662142500281, -4.338013771921399, 0.8584211766719871, 1.6780628636479564, -4.9620002228766555, -3.505986034870138];1.747.241.221.999.860;13.216.091.999.958.700
